col_A,col_B,col_C
zur Inhaltsübersicht,,
"Deutschlandatlas_GEM1224_b: Indikatoren auf Gemeindeebene, Gebietsstand zum 31.12.2024 ",,
GKZ1224,Gemeindename,"Indikatorkürzel: bev_dicht

Einwohner/-innen je km² im Jahr 2024"
1057066,Rastorf,38.88
1057067,Rathjensdorf,37.36
1057068,Rendswühren,37.06
1057069,Ruhwinkel,72.28
1057070,Schellhorn,147.27
1057071,Schillsdorf,32.47
1057072,Schlesen,71.38
1057073,Schönberg (Holstein),533.62
1057074,Schönkirchen,425.69
1057076,Schwartbuck,61.22
1057077,Selent,403.76
1057078,Stakendorf,60.1
1057079,Stein,226.51
1057080,Stolpe,54.42
1057081,Stoltenberg,43.32
1057082,Tröndel,47.49
1057083,Tasdorf,71.76
1057084,Wahlstorf,29.06
1057085,Wankendorf,218.67
1057086,Warnau,99.25
1057087,Wendtorf,188.45
1057088,Wisch,69.61
1057089,Wittmoldt,28.02
1057090,Fargau-Pratjau,31.92
1057091,"Schwentinental, Stadt",791.18
1058001,Achterwehr,66.6
1058003,Alt Duvenstedt,93.63
1058004,Altenhof,25.72
1058005,Altenholz,518.12
1058007,Arpsdorf,25.79
1058008,Ascheffel,93.74
1058009,Aukrug,76.03
1058010,Bargstall,35.28
1058011,Bargstedt,30.77
1058012,Barkelsby,87.85
1058013,Beldorf,22.74
1058014,Bendorf,22.52
1058015,Beringstedt,50.66
1058016,Bissee,17.37
1058018,Blumenthal,78.21
1058019,Böhnhusen,52.36
1058021,Bokel,39.16
1058022,Bordesholm,772.37
1058023,Borgdorf-Seedorf,64.5
1058024,Borgstedt,193.11
1058025,Bornholt,15.92
1058026,Bovenau,42.61
1058027,Brammer,25.4
1058028,Bredenbek,122.61
1058029,Breiholz,72.02
1058030,Brekendorf,49.54
1058031,Brinjahe,22.96
1058032,Brodersby,70.07
1058033,Brügge,141.78
1058034,"Büdelsdorf, Stadt",1607.56
1058035,Bünsdorf,39.05
1058036,Christiansholm,30.17
1058037,Dänischenhagen,229.79
1058038,Dätgen,54.14
1058039,Damendorf,60.83
1058040,Damp,112.17
1058042,Dörphof,48.47
1058043,"Eckernförde, Stadt",999.21
1058044,Ehndorf,41.14
1058045,Eisendorf,50
1058046,Ellerdorf,49.51
1058047,Elsdorf-Westermühlen,59.35
1058048,Embühren,25.37
1058049,Emkendorf,34.16
1058050,Felde,150.94
1058051,Felm,80.95
