ID,Amtlicher Regionalschlüssel,Stadtname,Postleitzahl,Fläche,Bevölkerung,Bevölkerungsdichte
Laufende Nummer,Amtlicher Regionalschlüssel,Stadt,Postleitzahl ,Fläche km² ¹⁾,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ insgesamt,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾             je km²
276,057580024024,"Löhne, Stadt",32584,59.51,40826,686
277,081165005049,"Nürtingen, Stadt",72622,46.88,40773,870
278,160620041041,"Nordhausen, Stadt",99734,108.24,40767,377
279,160630105105,"Eisenach, Stadt",99817,104.17,40747,391
280,095610000000,Ansbach,91522,99.91,40742,408
281,053820024024,"Königswinter, Stadt",53639,76.2,40574,532
282,055540004004,"Ahaus, Stadt",48683,151.24,40176,266
283,053340036036,"Würselen, Stadt",52146,34.39,40145,1167
284,146285229270,"Pirna, Stadt",01796,53.06,40128,756
285,057660044044,"Lemgo, Stadt",32657,100.85,39905,396
286,081160080080,"Ostfildern, Stadt",73760,22.81,39778,1744
287,073170000000,"Pirmasens, Stadt",66953,61.35,39761,648
288,083170057057,"Kehl, Stadt",77694,75.07,39584,527
289,051580024024,"Mettmann, Stadt",40822,42.56,39542,929
290,120610260260,"Königs Wusterhausen, Stadt",15711,96.04,39360,410
291,146280110110,"Freital, Stadt",01705,40.46,39281,971
292,064360007007,"Hofheim am Taunus, Kreisstadt",65719,57.43,39259,684
293,064350019019,"Maintal, Stadt",63477,32.41,38987,1203
294,160700029029,"Ilmenau, Stadt",98693,198.69,38834,195
295,081195001008,"Backnang, Stadt",71522,39.38,38818,986
296,064380006006,"Langen (Hessen), Stadt",63225,29.12,38785,1332
297,082150017017,"Ettlingen, Stadt",76275,56.75,38578,680
298,053820044044,"Niederkassel, Stadt",53859,35.79,38485,1075
299,055580012012,"Coesfeld, Stadt",48653,141.36,38237,270
300,051700020020,"Kamp-Lintfort, Stadt",47475,63.14,38217,605
301,055660012012,"Greven, Stadt",48268,140.26,38212,272
302,055620016016,"Haltern am See, Stadt",45721,159.03,38142,240
303,053620040040,"Wesseling, Stadt",50389,23.37,38106,1631
304,150840550550,"Weißenfels, Stadt",06667,113.96,37929,333
305,064380009009,"Neu-Isenburg, Hugenotten- und Waldenserstadt",63263,24.29,37926,1561
306,150850135135,"Halberstadt, Stadt",38820,143.27,37898,265
307,150900535535,"Stendal, Hansestadt",39576,269.24,37850,141
308,055700052052,"Warendorf, Stadt",48231,176.88,37703,213
309,100440115115,"Saarlouis, Kreisstadt",66740,43.3,37667,870
310,146250020020,"Bautzen / Budyšin, Stadt",02625,66.67,37566,563
311,091790121121,"Fürstenfeldbruck, GKSt",82256,32.52,37420,1151
312,034540041041,"Papenburg, Stadt",26871,118.44,37206,314
313,091770117117,"Erding, GKSt",85435,54.61,37171,681
314,055700008008,"Beckum, Stadt",59269,111.46,37133,333
315,083275006050,"Tuttlingen, Stadt",78532,90.45,37109,410
316,082265008085,"Sinsheim, Stadt",74889,126.99,37036,292
317,033530040040,"Winsen (Luhe), Stadt",21423,109.77,36961,337
318,034540035035,"Meppen, Stadt",49716,188.4,36930,196
319,150820015015,"Bitterfeld-Wolfen, Stadt",06766,87.23,36592,419
320,034530004004,"Cloppenburg, Stadt",49661,70.86,36565,516
321,057700032032,"Porta Westfalica, Stadt",32457,105.22,36521,347
322,160640046046,"Mühlhausen/Thüringen, Stadt",99974,151.03,36353,241
323,055660008008,"Emsdetten, Stadt",48282,72.06,36159,502
324,064400003003,"Bad Vilbel, Stadt",61118,25.68,35961,1400
325,065330009009,"Limburg a. d. Lahn, Kreisstadt",65549,45.16,35938,796
326,081275002014,"Crailsheim, Stadt",74564,109.08,35755,328
327,051700044044,"Voerde (Niederrhein), Stadt",46562,53.49,35661,667
328,084175002002,"Balingen, Stadt",72336,90.32,35623,394
329,064380001001,"Dietzenbach, Kreisstadt",63128,21.68,35561,1640
330,055620008008,"Datteln, Stadt",45711,66.1,35473,537
331,100450117117,"St. Ingbert, Stadt",66386,49.95,35453,710
332,057660040040,"Lage, Stadt",32791,76.04,35054,461
333,092710119119,"Deggendorf, GKSt",94469,77.14,35044,454
334,073390030030,"Ingelheim am Rhein, Stadt",55218,73.31,35016,478
335,059620016016,"Hemer, Stadt",58675,67.66,35005,517
336,051540012012,"Geldern, Stadt",47608,96.97,34962,361
337,010560050050,"Wedel, Stadt",22880,33.81,34912,1033
338,051540016016,"Goch, Stadt",47574,115.43,34907,302
339,053580024024,"Jülich, Stadt",52428,90.39,34890,386
340,055660084084,"Steinfurt, Stadt",48565,111.67,34860,312
341,160540000000,"Suhl, Stadt",98527,141.62,34685,245
342,083365004069,"Rheinfelden (Baden), Stadt",79618,62.84,34674,552
343,051620020020,"Korschenbroich, Stadt",41352,55.24,34600,626
344,084265003021,"Biberach an der Riß, Stadt",88400,72.15,34576,479
345,010620001001,"Ahrensburg, Stadt",22926,35.29,34534,979
346,064310020020,"Viernheim, Stadt",68519,48.41,34426,711
347,150880220220,"Merseburg, Stadt",06217,53.87,34392,638
348,053780032032,"Wermelskirchen, Stadt",42929,74.8,34375,460
349,032410015015,"Seelze, Stadt",30926,54.08,34364,635
350,081155003021,"Herrenberg, Stadt",71083,65.7,34192,520
351,051660012012,"Kempen, Stadt",47906,68.8,34105,496
352,034570013013,"Leer (Ostfriesland), Stadt",26789,70.11,34025,485
353,081180046046,"Kornwestheim, Stadt",70806,14.65,33980,2319
354,032410002002,"Barsinghausen, Stadt",30890,102.81,33941,330
355,120735051532,"Schwedt/Oder, Stadt",16303,360.74,33730,94
356,034600009009,"Vechta, Stadt",49377,87.89,33728,384
357,010530032032,"Geesthacht, Stadt",21502,33.25,33519,1008
358,073200000000,"Zweibrücken, Stadt",66482,70.64,33323,472
359,094740126126,"Forchheim, GKSt",91301,44.44,33017,743
360,146270210210,"Radebeul, Stadt",01445,26.14,32979,1262
361,064400002002,"Bad Nauheim, Stadt",61231,32.54,32894,1011
362,033610001001,"Achim, Stadt",28832,68.06,32870,483
363,033600025025,"Uelzen, Hansestadt",29525,136.84,32821,240
364,010610046046,"Itzehoe, Stadt",25524,28.54,32725,1147
365,032560022022,"Nienburg (Weser), Stadt",31582,64.53,32608,505
366,064310013013,"Lampertheim, Stadt",68623,72.27,32400,448
367,083360091091,"Weil am Rhein, Stadt",79576,19.46,32236,1657
368,150850370370,"Wernigerode, Stadt",38855,170.5,32167,189
369,057740020020,"Delbrück, Stadt",33129,157.28,32166,205
370,120670144144,"Fürstenwalde/Spree, Stadt",15517,70.67,32002,453
371,120680320320,"Neuruppin, Stadt",16816,305.19,31962,105
372,150840355355,"Naumburg (Saale), Stadt",06618,130.25,31940,245
373,051540008008,"Emmerich am Rhein, Stadt",46446,80.4,31829,396
374,083350063063,"Radolfzell am Bodensee, Stadt",78315,58.55,31734,542
375,100420113113,"Merzig, Kreisstadt",66663,108.98,31697,291
376,064330008008,"Mörfelden-Walldorf, Stadt",64546,44.13,31638,717
377,055620028028,"Oer-Erkenschwick, Stadt",45739,38.66,31404,812
378,034590019019,"Georgsmarienhütte, Stadt",49124,55.49,31244,563
379,051700032032,"Rheinberg, Stadt",47495,75.24,31172,414
380,033520062062,"Geestland, Stadt",27607,356.56,31093,87
381,160770001001,"Altenburg, Stadt",04600,45.69,31093,681
382,032410003003,"Burgdorf, Stadt",31303,112.56,31051,276
383,033580024024,"Walsrode, Stadt",29664,336.46,31019,92
384,150890030030,"Bernburg (Saale), Stadt",06406,113.92,30992,272
385,053820028028,"Lohmar, Stadt",53797,65.62,30992,472
386,059700024024,"Kreuztal, Stadt",57223,71.07,30905,435
387,066320002002,"Bad Hersfeld, Kreisstadt",36251,73.87,30846,418
388,146250240240,"Hoyerswerda / Wojerecy, Stadt",02977,94.99,30759,324
389,010580135135,"Rendsburg, Stadt",24768,23.75,30633,1290
390,150890305305,"Schönebeck (Elbe), Stadt",39218,86.52,30419,352
391,064400008008,"Friedberg (Hessen), Kreisstadt",61169,50.18,30409,606
392,082155002007,"Bretten, Stadt",75015,71.1,30274,426
393,059780040040,"Werne, Stadt",59368,76.14,30202,397
394,071340045045,"Idar-Oberstein, Stadt",55743,91.58,30170,329
395,064390015015,"Taunusstein, Stadt",65232,67.02,30145,450
396,091850149149,"Neuburg a.d.Donau, GKSt",86633,81.29,30135,371
397,055700028028,"Oelde, Stadt",59302,102.77,30129,293
